,sleep,phone,computer,exercise,caffeine
0,2,2,0,4,3
1,3,3,3,3,1
2,5,3,0,3,3
3,3,0,2,0,0
4,3,3,2,2,0
5,2,2,3,3,3
6,4,3,0,0,0
7,3,2,2,2,3
8,5,0,0,3,3
9,1,1,1,4,3
10,5,3,3,1,3
11,3,3,2,3,1
12,3,2,0,3,0
13,3,2,1,4,3
14,3,3,3,0,0
15,3,3,0,0,3
16,4,2,1,3,3
17,4,2,0,2,1
18,3,3,2,4,1
19,4,2,2,2,1
20,1,3,1,1,3
21,4,0,1,3,1
22,4,2,0,4,3
23,1,3,3,4,2
24,5,3,2,3,3
25,0,2,3,4,0
26,0,2,2,3,1
27,4,3,0,3,1
28,3,0,0,0,3
29,0,0,3,4,0
30,1,2,0,3,2
31,0,3,3,3,0
32,1,3,1,4,0
33,5,3,1,1,3
34,0,3,1,4,0
35,3,3,1,4,3
36,3,3,3,3,3
37,2,0,1,4,1
38,2,2,0,3,3
39,0,3,1,2,1
40,3,2,1,4,1
41,4,3,1,4,3
42,3,0,1,3,3
