,sleep,phone,computer,exercise,caffeine
0,4~5 시간,2~3시간,3시간 이상,운동을 하지 않음,전혀 섭취하지 않는다
1,4~5 시간,2~3시간,3시간 이상,운동을 하지 않음,전혀 섭취하지 않는다
2,5~6 시간,3시간 이상,3시간 이상,운동을 하지 않음,전혀 섭취하지 않는다
3,5~6 시간,3시간 이상,2~3시간,운동을 하지 않음,1잔 미만
4,5~6 시간,3시간 이상,2~3시간,약 30분,3~4잔
5,7시간 이상,1시간 이하,1시간 이하,약 30분,3~4잔
6,7시간 이상,,,약 30분,
7,7시간 이상,,,30분~1시간,
8,7시간 이상,,,30분~1시간,
9,7시간 이상,,,2시간 이상,
10,6~7 시간,,,,
11,6~7 시간,,,,
12,6~7 시간,,,,
13,6~7 시간,,,,
14,3시간 이하,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
